code_muni,name_muni,code_state,abbrev_state,name_state,code_region,name_region,year,Nível Territorial (Código),Nível Territorial,Unidade de Medida (Código),Unidade de Medida,producao_milho,municipio,Produto das lavouras temporárias (Código),Produto das lavouras temporárias,Variável (Código),Variável,Ano (Código),Ano,classe_producao
1100015,Alta Floresta d'Oeste,11,RO,Rondônia,1,Norte,2020,6,Município,1017,Toneladas,8162,Alta Floresta D'Oeste - RO,2711,Milho (em grão),214,Quantidade produzida,2024,2024,Média
1100023,Ariquemes,11,RO,Rondônia,1,Norte,2020,6,Município,1017,Toneladas,34889,Ariquemes - RO,2711,Milho (em grão),214,Quantidade produzida,2024,2024,Alta
1100031,Cabixi,11,RO,Rondônia,1,Norte,2020,6,Município,1017,Toneladas,104103,Cabixi - RO,2711,Milho (em grão),214,Quantidade produzida,2024,2024,Muito alta
1100049,Cacoal,11,RO,Rondônia,1,Norte,2020,6,Município,1017,Toneladas,13804,Cacoal - RO,2711,Milho (em grão),214,Quantidade produzida,2024,2024,Alta
1100056,Cerejeiras,11,RO,Rondônia,1,Norte,2020,6,Município,1017,Toneladas,129685,Cerejeiras - RO,2711,Milho (em grão),214,Quantidade produzida,2024,2024,Muito alta
1100064,Colorado do Oeste,11,RO,Rondônia,1,Norte,2020,6,Município,1017,Toneladas,8585,Colorado do Oeste - RO,2711,Milho (em grão),214,Quantidade produzida,2024,2024,Média
1100072,Corumbiara,11,RO,Rondônia,1,Norte,2020,6,Município,1017,Toneladas,178265,Corumbiara - RO,2711,Milho (em grão),214,Quantidade produzida,2024,2024,Muito alta
1100080,Costa Marques,11,RO,Rondônia,1,Norte,2020,6,Município,1017,Toneladas,20098,Costa Marques - RO,2711,Milho (em grão),214,Quantidade produzida,2024,2024,Alta
1100098,Espigão d'Oeste,11,RO,Rondônia,1,Norte,2020,6,Município,1017,Toneladas,5600,Espigão D'Oeste - RO,2711,Milho (em grão),214,Quantidade produzida,2024,2024,Média
1100106,Guajará-Mirim,11,RO,Rondônia,1,Norte,2020,6,Município,1017,Toneladas,10150,Guajará-Mirim - RO,2711,Milho (em grão),214,Quantidade produzida,2024,2024,Alta
1100114,Jaru,11,RO,Rondônia,1,Norte,2020,6,Município,1017,Toneladas,1740,Jaru - RO,2711,Milho (em grão),214,Quantidade produzida,2024,2024,Média
1100122,Ji-Paraná,11,RO,Rondônia,1,Norte,2020,6,Município,1017,Toneladas,2304,Ji-Paraná - RO,2711,Milho (em grão),214,Quantidade produzida,2024,2024,Média
1100130,Machadinho d'Oeste,11,RO,Rondônia,1,Norte,2020,6,Município,1017,Toneladas,35771,Machadinho D'Oeste - RO,2711,Milho (em grão),214,Quantidade produzida,2024,2024,Alta
1100148,Nova Brasilândia d'Oeste,11,RO,Rondônia,1,Norte,2020,6,Município,1017,Toneladas,5109,Nova Brasilândia D'Oeste - RO,2711,Milho (em grão),214,Quantidade produzida,2024,2024,Média
1100155,Ouro Preto do Oeste,11,RO,Rondônia,1,Norte,2020,6,Município,1017,Toneladas,6068,Ouro Preto do Oeste - RO,2711,Milho (em grão),214,Quantidade produzida,2024,2024,Média
